                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.92003,                 0.5624,                 1.0001,                0.86164,                0.64342,                 0.7555,                0.54912,                0.95624,                0.59501,                 1.0786,              0.0015921,              0.0015921,              0.0015921
                    106,                 0.9258,                0.56499,                0.99893,                0.88238,                 0.6348,                0.75019,                0.53968,                0.96775,                0.61071,                 1.0878,              0.0015882,              0.0015882,              0.0015882
                    107,                  0.915,                0.55161,                0.99496,                0.88462,                0.63709,                0.75479,                0.54924,                0.94471,                0.59383,                 1.0714,              0.0015842,              0.0015842,              0.0015842
                    108,                0.92818,                0.55601,                0.99867,                0.89897,                0.62908,                0.75538,                0.55339,                 0.9461,                0.59571,                 1.0691,              0.0015802,              0.0015802,              0.0015802
                    109,                0.92076,                0.55507,                0.99671,                0.91206,                0.61448,                0.74394,                0.54076,                0.96763,                0.60422,                 1.0787,              0.0015763,              0.0015763,              0.0015763
                    110,                0.92245,                0.55171,                 0.9964,                 0.8933,                0.62679,                0.75581,                0.54407,                0.96641,                0.59108,                 1.0985,              0.0015723,              0.0015723,              0.0015723
                    111,                 0.9204,                0.55285,                 1.0038,                0.89392,                0.62278,                0.74891,                0.54395,                0.95634,                 0.6076,                 1.0789,              0.0015684,              0.0015684,              0.0015684
                    112,                0.91726,                0.55778,                0.99818,                0.88146,                0.62679,                0.75195,                0.55387,                0.95155,                0.61407,                 1.0776,              0.0015644,              0.0015644,              0.0015644
                    113,                0.92026,                0.54984,                0.99212,                  0.849,                0.65054,                0.75109,                0.54043,                0.97671,                0.60267,                 1.1091,              0.0015604,              0.0015604,              0.0015604
                    114,                0.92279,                0.55193,                0.99588,                0.88676,                 0.6253,                0.74571,                0.53605,                 0.9867,                0.60378,                 1.1101,              0.0015565,              0.0015565,              0.0015565
                    115,                0.89841,                0.53967,                0.99441,                0.88733,                0.62307,                0.75003,                0.54163,                0.97038,                0.61245,                 1.0975,              0.0015525,              0.0015525,              0.0015525
                    116,                0.91031,                0.54854,                0.99192,                0.88314,                0.62942,                0.75014,                0.54311,                 0.9791,                0.60271,                   1.09,              0.0015486,              0.0015486,              0.0015486
                    117,                0.90834,                0.54044,                0.99588,                0.89122,                0.62021,                0.73975,                 0.5366,                0.96783,                  0.608,                 1.0995,              0.0015446,              0.0015446,              0.0015446
                    118,                0.91064,                0.54153,                0.99553,                0.87239,                 0.6245,                 0.7324,                0.52935,                0.99497,                0.62029,                 1.1175,              0.0015406,              0.0015406,              0.0015406
                    119,                 0.9017,                0.54032,                0.98749,                0.88719,                0.62994,                 0.7455,                0.54375,                0.97341,                0.61805,                 1.0874,              0.0015367,              0.0015367,              0.0015367
                    120,                0.90237,                0.54101,                0.98914,                 0.9068,                 0.6079,                0.73483,                0.53068,                0.98723,                0.62362,                 1.1036,              0.0015327,              0.0015327,              0.0015327
